"An error occurred while saving this role.","Er ging iets verkeerd bij het opslaan van deze rol:"
"An error occurred while saving this template.","Er ging iets verkeerd bij het opslaan van deze template:"
"An error occurred while updating the selected review(s).","Er ging iets verkeerd bij het updaten van de geselecteerde review(s)."
"Any","Elke"
"Any Attribute Set","Iedere attributen-set"
"Any Group","Elke groep"
"Any Status","Elke status"
"Any Store","Elke winkel"
"Any Type","Elk type"
"Any Visibility","Elke zichtbaarheid"
"Any data created since the backup was made will be lost including admin users, customers and orders.","Alle gegevens die zijn gemaakt sinds de back-up zullen verloren gaan inclusief admin gebruikers, klanten en orders."
"Archive file name:","Bestandsnaam archief:"
"Are you sure that you want to delete this template?","Weet u zeker dat u deze template wilt verwijderen?"
"Are you sure that you want to strip tags?","Weet u zeker dat u tags wilt verwijderen?"
"Are you sure you want to do this?","Weet u zeker dat u dit wilt?"
"Are you sure you want to proceed?","Weet je zeker dat je verder wilt gaan?"
"Area","Gebied"
"As low as:","Zo laag als:"
"Assigned","Toegewezen"
"Associated Tags","Labels"
"Attribute Set Name:","Naam attributen-set:"
"Attributes","Attributen"
"Authorization confirmed","Machtiging bevestigd"
"Authorize","Machtigen"
"Authorize application","Machtig toepassing"
"Authorized OAuth Tokens","Gemachtigde OAuth Tokens"
"Automatic (equalize price ranges)","Automatisch (gelijk prijsklassen)"
"Automatic (equalize product counts)","Automatisch (gelijk Aantal Producten)"
"Average Order Amount","Gemiddeld bestelbedrag"
"Average Orders","Gemiddelde orderwaarde per order"
"BINARY","BINAIR"
"Back","Terug"
"Back to Login","Terug naar log-in venster"
"Backup","Back-up"
"Backup Name","Backup naam"
"Backup options","Backup opties"
"Backups","Back-ups"
"Base currency","Basis-valuta"
"Bcc","Bcc (Blinde kopie)"
"Bestsellers","Meest verkocht"
"Billing Address","Factuuradres"
"Billing Address: ","Factuuradres:"
"Billing Agreement","Incasso Overeenkomst"
"Billing Agreements","Incasso Overeenkomsten"
"Block Information","Blok informatie"
"Both (without and with tax)","Beide (met en zonder BTW)"
"Both IPN and PDT","Zowel IPN als PDT"
"Browse Files...","Blader door bestanden..."
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Een bundel met dynamische prijzen kan geen eigen opties bevatten. Opties worden niet opgeslagen."
"CMS","CMS"
"CRITICAL","CRITICAL"
"CSV","CSV"
"CSV / Tab separated","CSV / Tab-gescheiden"
"Cache Control","Cache-beheer"
"Cache Control (beta)","Cache-instellingen (beta)"
"Cache Management","Cache-beheer"
"Cache Type","Cache Type"
"Cancel","Annuleren"
"Cannot add new comment.","Kan geen nieuwe reactie toevoegen"
"Cannot add tracking number.","Kan geen Track & Trace nummer toevoegen"
"Cannot create an invoice without products.","Kan geen factuur maken zonder producten"
"Cannot create credit memo for the order.","Kan geen creditnota voor deze order aanmaken"
"Cannot delete the design change.","Kan het design niet wijzigen"
"Cannot delete tracking number.","Kan het Track & Trace nummer niet verwijderen"
"Cannot do shipment for the order separately from invoice.","Kan geen verzendopdracht aanmaken zonder factuur"
"Cannot do shipment for the order.","Kan geen verzendopdracht voor deze order aanmaken"
"Cannot initialize shipment for adding tracking number.","Kan dit Track & Trace nummer niet toevoegen"
"Cannot initialize shipment for delete tracking number.","Kan dit Track & Trace nummer niet verwijderen"
"Cannot load track with retrieving identifier.","Kan de Track & Trace informatie niet openen"
"Cannot retrieve tracking number detail.","Kan de Track & Trace informatie niet verkrijgen"
"Cannot save shipment.","Kan deze zending niet opslaan"
"Cannot save the credit memo.","Kan creditfactuur niet opslaan"
"Cannot send shipment information.","Kan de verzend details niet versturen"
"Cannot update item quantity.","Kan de aantallen niet wijzigen"
"Cannot update the item\'s quantity.","Kan de product hoeveelheid niet updaten."
"Catalog","Catalogus"
"Catalog Price Rules","Catalogus prijsregels"
"Catalog Rewrites","Catalogus Rewrites"
"Categories","Categorieën"
"Category:","Categorie:"
"Chart is disabled. If you want to enable chart, click <a href="%s">here</a>.","Chart uitgeschakeld. Als u de chart weer wilt inschakeln klik <a href="%s">hier</a>."
"Checkbox","Checkbox"
"Child Transactions","Bijbehorende transacties"
"Choose Store View:","Kies winkelzicht:"
"Choose an attribute","Attribuut kiezen"
"Chosen category does not associated with any website, so url rewrite is not possible.","Gekozen categorie komt met geen enkele website overeen, de url herschrijving is daarom niet mogelijk."
"Chosen product does not associated with any website, so url rewrite is not possible.","Gekozen product komt met geen enkele website overeen, de url herschrijving is daarom niet mogelijk,"
"Clear","Legen"
"Close","Close"
"Comment text field cannot be empty.","Tekstveld Notitie mag niet leeg zijn."
"Complete","Voltooid"
"Config form fieldset clone model required to be able to clone fields","Config form fieldset clone model is verplicht om de velden te klonen"
"Configuration","Configuratie"
"Confirm New Password","Bevestig nieuw wachtwoord"
"Confirm token authorization Pop Up for admin","Confirm token authorization Pop Up for admin"
"Confirm token authorization for admin","Confirm token authorization for admin"
"Confirmation Of Authorization","Bevestig voor Authorisatie"
"Confirmed email:","Bevestigde email:"
"Connect with the Magento Community","Verbinden met de Magento Community"
"Continue","Doorgaan"
"Convert to Plain Text","Omzetten naar platte tekst"
"Cookie (unsafe)","Cookie (Onveilig)"
"Country","Land"
"Country:","Land:"
"Coupons","Kortingsbonnen"
"Create","Aanmaken"
"Create DB Backup","DB-backup aanmaken"
"Create New Attribute","Nieuw attribuut aanmaken"
"Create URL Rewrite:","URL Rewrite aanmaken:"
"Created At","Aangemaakt op"
"Credit Card %s","Credit Card %s"
"Credit Memo History","Creditfactuur geschiedenis"
"Credit Memo Totals","Totaal creditfacturen"
"Credit Memos","Creditfacturen"
"Credit memo #%s comment added","Notitie toegevoegd aan creditfactuur #%s"
"Credit memo #%s created","Creditfactuur #%s gemaakt"
"Credit memo\'s total must be positive.","Totaal van creditmemo's moet positief zijn."
"Currency","Valuta"
"Currency "%s" is used as %s in %s.","Currency "%s" is used as %s in %s."
"Currency Information","Valuta-gegevens"
"Currency Setup Section","Sectie Valuta-instellingen"
"Current Configuration Scope:","Scope huidige configuratie"
"Current Month","Huidige maand"
"Custom","Op maat"
"Custom Variable "%s"","Custom Variable "%s""
"Custom Variables","Maatwerk Variabelen"
"Customer","Klant"
"Customer Group:","Klantengroep:"
"Customer Groups","Klantgroepen"
"Customer Name","Klantnaam"
"Customer Reviews","Klantbeoordelingen"
"Customer Shopping Carts","Winkelwagens van klant"
"Customer Since:","Klant sinds:"
"Customer Tax Classes","BTW percentages van klant"
"Customer with the same email already exists.","Er is al een klant met hetzelfde e-mailadres."
"Customers","Klanten"
"Customers by Number of Orders","Klanten o.b.v. aantal bestellingen"
"Customers by Orders Total","Klanten o.b.v. orderwaarde"
"DHTML Date/Time Selector","DHTML datum/tijd-kiezer"
"Dashboard","Dashboard"
"Data Format","Gegevensformaat"
"Data transfer:","Gegevensoverdracht:"
"Database","Database"
"Dataflow - Advanced Profiles","Dataflow - Geavanceerde Profielen"
"Dataflow - Profiles","Dataflow - Profielen"
"Date","Datum"
"Date & Time","Datum & Tijd"
"Date Added","Datum toegevoegd"
"Date Updated","Datum bijgewerkt"
"Date selection:","Datumkeuze:"
"Date selector","Datumkiezer"
"Day","Dag"
"Decimal separator:","Decimaal scheidingsteken:"
"Default (Admin) Values","Standaard (Admin) waarden"
"Default Billing Address","Standaard factuuradres"
"Default Config","Standaard configuratie"
"Default Template from Locale","Standaard-template a.d.v. Lokalisatie"
"Default Values","Standaardwaarden"
"Default display currency "%s" is not available in allowed currencies.","Default display currency "%s" is not available in allowed currencies."
"Default scope","Standaard-scope"
"Delete","Verwijder"
"Delete %s","%s verwijderen"
"Delete %s '%s'","%s, %s verwijderen"
"Delete File","Verwijder bestand"
"Delete Image","Verwijder afbeelding"
"Delete Profile","Profiel verwijderen"
"Delete Role","Rol verwijderen"
"Delete Store","Verwijder winkel"
"Delete Store View","Winkelzicht verwijderen"
"Delete Template","Template verwijderen"
"Delete User","Gebruiker verwijderen"
"Delete Website","Website verwijderen"
"Description","Beschrijving"
"Design","Ontwerp"
"Design Section","Sectie Ontwerp"
"Details","Details"
"Developer Section","Sectie Ontwikkelaar"
"Direction:","Richting:"
"Disable","Uitschakelen"
"Disabled","Uitgeschakeld"
"Display %s first","%s eerst weergeven"
"Display default currency","Standaardvaluta weergeven"
"Distributed under GNU LGPL. See %s for details.","Uitgebracht onder GNU LGP licentie. Voor details zie %s."
"Do you really want to KILL parallel process and start new indexing process?","Wilt u een parallel proces echt stopzetten en opnieuw gaan indexeren?"
"Do you really want to proceed?","Wil je echt verder gaan?"
"Download","Download"
"Downloads","Downloads"
"Drag to move","Slepen om te verplaatsen"
"Drop-down","Dropdown"
"Edit","Wijzigen"
"Edit Design Change","Bewerk design"
"Edit Email Template","E-mail template bewerken"
"Edit Order","Bewerk bestelling"
"Edit Poll","Poll bewerken"
"Edit Queue","Bewerk wachtrij"
"Edit Review","Bewerk review"
"Edit Role","Rol bewerken"
"Edit Store View","Winkelzicht bewerken"
"Edit System Template","Systeem-template bewerken"
"Edit Template","Template bewerken"
"Edit URL Rewrite","Bewerk URL Rewrite"
"Edit User","Gebruiker bewerken"
"Edit User '%s'","Gebruiker '%s'"
"Edit Website","Website wijzigen"
"Email","E-mail"
"Email Address:","E-mailadres:"
"Email Preview","E-mail voorbeeld"
"Email to a Friend","E-mail naar een vriend"
"Email:","E-mail:"
"Enable","Inschakelen"
"Enabled","Ingeschakeld"
"Enclose Values In:","Voeg waarden bij in:"
"Entity Attributes","Eenheidattributen"
"Entity Type","Entiteittype"
"Entity type:","Entiteittype:"
"Error","Fout"
"Excel XML","Excel XML"
"Excl. Tax","Excl. BTW"
"Exclude media folder from backup","Sluit media map uit van back-up"
"Export","Exporteren"
"Export CSV","CSV exporteren"
"Export Filters","Filters exporteren"
"Export to:","Exporteren naar:"
"Export:","Exporteren:"
"FTP Host","FTP Host"
"FTP Host[:Port]","FTP Host[:Poort]"
"FTP Login","FTP login"
"FTP Password","FTP wachtwoord"
"FTP credentials","FTP referenties"
"Failed to add a product to cart by id "%s".","Kon product niet toevoegen aan winkelwagen "%s"."
"Failed to cancel the billing agreement.","Kon de factuurovereenkomst niet annuleren."
"Failed to clear the JavaScript/CSS cache.","Kon de JavaScript/CSS cache niet legen."
"Failed to delete the billing agreement.","Kon de factuurovereenkomst niet verwijderen."
"Failed to update the profile.","Kon het profiel niet bijwerken."
"Field","Veld"
"Field Mapping","Veldindeling"
"File","Bestand"
"File Information","Bestandsgegevens"
"File System","Bestanden Systeem"
"File mode","Bestandsmodus"
"File name:","Bestandsnaam:"
"File size should be more than 0 bytes","Bestandsgrootte zou meer dan 0 bytes moeten zijn"
"Finished profile execution.","Klaar met uitvoeren van profiel."
"First Invoice Created Date","Eerste Factuur aangemaakt op"
"First Name","Voornaam"
"First Name is required field.","Voornaam is verplicht."
"First Name:","Voornaam:"
"Fixed","Vast"
"Flush Catalog Images Cache","Flus Catalogus Afbeeldingen Cache"
"Flush JavaScript/CSS Cache","Leeg JavaScript/CSS Cache"
"For category","Voor categorie"
"For latest version visit: %s","Bezoek %s voor de laatste versie"
"For product","Voor product"
"Forgot Admin Password","Admin wachtwoord vergeten"
"Forgot your password?","Uw wachtwoord vergeten?"
"Forgot your user name or password?","Wachtwoord of gebruikersnaam vergeten?"
"From","From"
"GLOBAL","GLOBAAL"
"Gb","Gigabyte"
"General Information","Algemene Informatie"
"General Section","Seectie Algemeen"
"Get Image Base64","Base64-afbeelding ophalen"
"Get help for this page","Hulp voor deze pagina"
"Give the verifier code to application administrator","Geef de Verifier-code aan de administrator"
"Global Attribute","Globaal attribuut"
"Global Record Search","Doorzoek de hele site"
"Global Search","Overal zoeken"
"Go Today","Naar vandaag"
"Go to messages inbox","Ga naar berichten"
"Go to notifications","Ga naar meldingen"
"Google Base","Google Base"
"Google Sitemaps","Google Sitemaps"
"Grand Total","Eindtotaal"
"Grid (default) / List","Tabel (standaard) / lijst"
"Grid Only","Alleen tabel"
"Group:","Groep:"
"Guest","Gast"
"HTTP (unsecure)","HTTP (onveilig)"
"HTTPS (SSL)","HTTPS (SSL)"
"Help Us Keep Magento Healthy - Report All Bugs","Help Magento gezond te houden. Rapporteer alle bugs."
"Helper attributes should not be used in custom layout updates.","Help attributen moeten niet gebruikt worden in gebruikelijke layout updates."
"Helper for options rendering doesn't implement required interface.","Help voor optie verduidelijking implementeert gevraagde interface niet."
"Home","Home"
"ID","ID"
"ID Path","ID pad"
"IP Address","IP-adres"
"IPN (Instant Payment Notification) Only","Alleen IPN (Instant Payment Notification)"
"If there is an account associated with %s you will receive an email with a link to reset your password.","Als er een account overeenkomt met %s ontvangt u een e-mail met een link om uw wachtwoord opnieuw aan te maken."
"If this message persists, please contact the store owner.","Als deze melding blijft bestaan, neem dan contact op met de winkeleigenaar."
"Images (.gif, .jpg, .png)","Afbeeldingen (.gif, .jpg, .png)"
"Images Cache","Cache van afbeeldingen"
"Import","Importeren"
"Import Service","Service importeren"
"Import and Export","Import & Export"
"Import and Export Tax Rates","Import & Export BTW Percentages"
"Import/Export","Importeren/Exporteren"
"Import/Export Advanced","Importeren/Exporteren geavanceerd"
"Import/Export Profile","Import/Export-profiel"
"Important: ","Belangrijk:"
"Imported <strong>%s</strong> records","<strong>%s</strong> records ge&iuml;mporteerd"
"In","In"
"In Database:","In database:"
"In File:","In bestand:"
"Inactive","Inactief"
"Incl. Tax","Incl. BTW"
"Incoming Message","Bericht ontvangen"
"Insert Variable...","Variabele waarde invoegen..."
"Interactive","Interactief"
"Interface Locale: %s","Interface-lokalisatie: %s"
"Invalid Form Key. Please refresh the page.","Ongeldige formuliersleutel. Gelieve de pagina te vernieuwen."
"Invalid Import Service Specified","Ongeldige importservice opgegeven"
"Invalid POST data (please check post_max_size and upload_max_filesize settings in your php.ini file).","Ongeldige POST data (controleer de instellingen voor post_max_size en upload_max_filesize in uw php.ini bestand)"
"Invalid Secret Key. Please refresh the page.","Ongeldige geheime sleutel. Gelieve de pagina te vernieuwen."
"Invalid User Name or Password.","Ongeldige gebruikersnaam of wachtwoord."
"Invalid directory: %s","Ongeldige map: %s"
"Invalid email address "%s".","Ongeldig email adres %s"
"Invalid email address.","Ongeldig email adres"
"Invalid file: %s","Ongeldig bestand: %s"
"Invalid input data for %s => %s rate","Ongeldige invoergegevens voor %s => %s koers"
"Invalid parent block for this block","Ongeldig 'moederblok' voor dit 'blok'"
"Invalid parent block for this block.","Ongeldig 'moederblok' voor dit 'blok'"
"Invalid password reset token.","Ongeldig wachtwoord reset token."
"Invalid sender name "%s". Please use only visible characters and spaces.","Invalid sender name "%s". Please use only visible characters and spaces."
"Invalid timezone","Ongeldige tijdzone"
"Invalidated","Ongeldig"
"Inventory Stock Status","Voorraad-status"
"Invoice #%s comment added","Notitie toegevoegd aan factuur #%s"
"Invoice #%s created","Factuur #%s gemaakt"
"Invoice History","Factuur-geschiedenis"
"Invoice Totals","Factuur-totalen"
"Invoice canceling error.","Fout bij het annuleren van de factuur."
"Invoice capturing error.","Fout bij het verzamelen van de factuur."
"Invoice voiding error.","Factuurfout: ongeldig"
"Invoices","Facturen"
"Is Closed","Is gesloten"
"Issue Number","Uitgave-nummer"
"Items","Artikelen"
"JavaScript seems to be disabled in your browser.","JavaScript lijkt te zijn uitgeschakeld in uw browser."
"JavaScript/CSS","JavaScript/CSS"
"JavaScript/CSS Cache","JavaScript/CSS Cache"
"Kb","Kb"
"Last 24 Hours","Laatste 24 uur"
"Last 5 Orders","Laatste 5 bestellingen"
"Last 5 Search Terms","Laatste 5 zoektermen"
"Last 7 Days","Laatste 7 dagen"
"Last Credit Memo Created Date","Laatste creditmemo aangemaakt op"
"Last Invoice Created Date","Laatste factuur aangemaakt op"
"Last Logged In (%s):","Laatst ingelogd (%s):"
"Last Logged In:","Laatst ingelogd"
"Last Name","Achternaam"
"Last Name is required field.","Achternaam is een verplicht veld."
"Last Name:","Laatste naam:"
"Last updated: %s. To refresh last day\'s <a href="%s">statistics</a>, click <a href="%s">here</a>.","Last updated: %s. To refresh last day\'s <a href="%s">statistics</a>, click <a href="%s">here</a>."
"Latest Message:","Laatste bericht:"
"Layered Navigation Indices","Indexen van gelaagde navigatie"
"Layered Navigation Indices were refreshed.","Indices voor Gelaagde Navigatie werden vernieuwd."
"Leave empty to use tax identifier","Leeg laten om BTW-identifier te gebruiken"
"Lifetime Sales","Verkooptotaal vanaf eerste bestelling"
"Lifetime statistics have been updated.","Levensduurstatistieken werden geupdate."
"Links","Links"
"Links with associated products will retain only after saving current product.","Links met aanverwante producten worden alleen behouden na het opslaan van het huidige product."
"List (default) / Grid","Lijst (standaard) / tabel"
"List Only","Alleen lijst"
"Load Template","Template laden"
"Load default template","Standaard-template laden"
"Loading...","Bezig met laden..."
"Local Server","Lokale server"
"Local/Remote Server","Lokale/externe server"
"Locale","Lokalisatie"
"Log In","Inloggen"
"Log Out","Log uit"
"Log in to Admin Panel","Log in op het Admin Panel"
"Log in to use <strong>%s</strong>","Log in om <strong>%s</ strong> te gebruiken"
"Log into Magento Admin Page","Log in op het Admin Panel"
"Logged in as %s","Ingelogd als %s"
"Login","Inloggen"
"Low Stock","Lage voorraad"
"MAJOR","MAJOR"
"MINOR","MINOR"
"MS Excel XML","MS Excel XML"
"Magento Admin","Magento Site-beheer"
"Magento Commerce - Administrative Panel","Magento Commerce – Site-beheer"
"Magento Connect","Magento Connect"
"Magento Connect Manager","Magento ConnectManager"
"Magento Logo","Magento Logo"
"Magento is a trademark of Magento Inc. Copyright &copy; %s Magento Inc.","Magento is een geregistreerd handelsmerk van Magento Inc. Copyright © %s Magento Inc."
"Magento root directory","Magento root directorie"
"Magento ver. %s","Magento versie %s"
"Magento&trade; is a trademark of Magento Inc.<br/>Copyright &copy; %s Magento Inc.","Magento&trade; is een geregistreerd merk van Magento Inc.<br/>Copyright &copy; %s Magento Inc."
"Make sure that data encoding in the file is consistent and saved in one of supported encodings (UTF-8 or ANSI).","Zorg dat de gegevensversleuteling in het bestand consistent is en opgeslagen is in één van de de ondersteunde versleutelcriteria (UTF-8 of ANSI)."
"Manage Attribute Sets","Beheer Attribuutsets"
"Manage Attributes","Beheer Attributen"
"Manage Categories","Beheer Categorieën"
"Manage Content","Beheer Content"
"Manage Currency Rates","Beheer wisselkoersen"
"Manage Customers","Beheer klanten"
"Manage Ratings","Beheer ratings"
"Manage Stores","Beheer winkels"
"Manage Tax Rules","Beheer BTW Regels"
"Manage Tax Zones and Rates","Beheer BTW Zones en Percentages"
"Manual","Handmatig"
"Matched Expression","Overeenkomende uitdrukking"
"Mb","Mb"
"Media (.avi, .flv, .swf)","Media (.avi, .flv, .swf)"
"Media storages synchronization has completed!","Mediageheugen synchronisatie voltooid!"
"Messages Inbox","Berichten Inbox"
"Month","Maand"
"Most Viewed","Meest bekeken"
"Most Viewed Products","Meest bekeken producten"
"Multiple Select","Meervoudige selectie"
"My Account","Mijn account"
"My Applications","Mijn toepassing"
"N/A","N/B"
"NOTICE","NOTICE"
"Name","Naam"
"Name:","Naam:"
"Never (production)","Nooit (productie)"
"New ","Nieuw"
"New API Key","Nieuwe Api key"
"New Accounts","Nieuwe accounts:"
"New Attribute","Nieuw Attribuut"
"New Block","Nieuw Block"
"New Category","Nieuwe Categorie"
"New Class","Nieuwe class"
"New Condition","Nieuwe voorwaarde"
"New Custom Variable","Nieuwe maatwerk variabele"
"New Customer","Nieuwe klant"
"New Customers","Nieuwe klanten"
"New Design Change","Nieuwe design verandering"
"New Email Template","Nieuwe e-mail template"
"New Group","Nieuwe groep"
"New Invoice","Nieuwe factuur"
"New Item Type","Nieuw artikeltype"
"New Memo","Nieuwe memo"
"New Memo for #%s","Nieuwe memo voor #%s"
"New Page","Nieuwe Pagina"
"New Password","Nieuw wachtwoord"
"New Poll","Nieuwe Poll"
"New Profile","Nieuw profiel"
"New Rate","Nieuwe Beoordeling"
"New Rating","Nieuwe Beoordeling"
"New Review","Nieuwe Review"
"New Role","Nieuwe Rol"
"New Rule","Nieuwe regel"
"New Search","Nieuwe zoekopdracht"
"New Set","Nieuwe set"
"New Shipment","Nieuwe zending"
"New Sitemap","Nieuwe sitemap"
"New Store View","Nieuw winkelzicht"
"New System Template","Nieuw systeem-template"
"New Tag","Nieuwe tag"
