"My Reviews","My Reviews"
"My Tags","My Tags"
"My Wishlist - <a href="%s">%d Item(s)</a>","My Wishlist - <a href="%s">%d Item(s)</a>"
"My Wishlist","My Wishlist"
"N/A","N/A"
"Name on Card","Name on Card"
"Name","Name"
"Name:","Name:"
"New Address","New Address"
"New Customers","New Customers"
"New Password","New Password"
"New Products","New Products"
"Newsletter Subscription","Newsletter Subscription"
"Newsletter","Newsletter"
"Newsletters","Newsletters"
"Next month (hold for menu)","Next month (hold for menu)"
"Next year (hold for menu)","Next year (hold for menu)"
"Next","Next"
"Nickname","Nickname"
"No items were found using the following search criteria.","No items were found using the following search criteria."
"No options of this product are available.","No options of this product are available."
"No shipping information available","No shipping information available"
"None.","None."
"Number","Number"
"OR","OR"
"Old Price:","Old Price:"
"On Hold","On Hold"
"Order #","Order #"
"Order #%s (%s)","Order #%s (%s)"
"Order #%s - %s","Order #%s - %s"
"Order #%s","Order #%s"
"Order Date: %s","Order Date: %s"
"Order List...","Order List..."
"Order Review","Order Review"
"Order Subtotal","Order Subtotal"
"Order Success","Order Success"
"Ordered","Ordered"
"Other Amount...","Other Amount..."
"Other Items in Your Order","Other Items in Your Order"
"Out of Stock","Out of Stock"
"Out of stock","Out of stock"
"Out of stock.","Out of stock."
"Page %s of %s","Page %s of %s"
"Page:","Page:"
"Password","Password"
"Pay Now","Pay Now"
"Payer Email: %s","Payer Email: %s"
"Payment Information","Payment Information"
"Payment Method","Payment Method"
"Pending","Pending"
"Personal Information","Personal Information"
"Place Order","Place Order"
"Please do not refresh the page until you complete payment.","Please do not refresh the page until you complete payment."
"Please enter a valid email address","Please enter a valid email address"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com."
"Please enter the city","Please enter the city"
"Please enter the country","Please enter the country"
"Please enter the state/province","Please enter the state/province"
"Please enter the street","Please enter the street"
"Please enter the telephone number","Please enter the telephone number"
"Please enter the zip/postal code","Please enter the zip/postal code"
"Please enter your email below and we'll send you a new password.","Please enter your email below and we'll send you a new password."
"Please enter your email below and we'll send you confirmation link for it.","Please enter your email below and we'll send you confirmation link for it."
"Please select a shipping method...","Please select a shipping method..."
"Please select one of each of the ratings above","Please select one of each of the ratings above"
"Please select region, state or province","Please select region, state or province"
"Please wait, loading...","Please wait, loading..."
"Please, enter your comments...","Please, enter your comments..."
"Points & Rewards Information","Points & Rewards Information"
"Points & Rewards Invitation","Points & Rewards Invitation"
"Points","Points"
"Popular Search Terms","Popular Search Terms"
"Popular Tags","Popular Tags"
"Prefix","Prefix"
"Prev","Prev"
"Prev. month (hold for menu)","Prev. month (hold for menu)"
"Prev. year (hold for menu)","Prev. year (hold for menu)"
"Previous","Previous"
"Price","Price"
"Print All Invoices","Print All Invoices"
"Print All Refunds","Print All Refunds"
"Print All Shipments","Print All Shipments"
"Print Invoice","Print Invoice"
"Print Refund","Print Refund"
"Print Shipment","Print Shipment"
"Print This Page","Print This Page"
"Proceed to Checkout","Proceed to Checkout"
"Processing","Processing"
"Product Attribute Specs","Product Attribute Specs"
"Product Description","Product Description"
"Product Name","Product Name"
"Product Page","Product Page"
"Product Rating:","Product Rating:"
"Product Review (submitted on %s):","Product Review (submitted on %s):"
"Product Tags","Product Tags"
"Product Views","Product Views"
"Product","Product"
"Product:","Product:"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","Products tagged with '%s' (<a href='%s'>RSS</a>)"
"Products tagged with '%s'","Products tagged with '%s'"
"Purchase Order Number","Purchase Order Number"
"Purchased From: %s","Purchased From: %s"
"Qty Invoiced","Qty Invoiced"
"Qty Ordered","Qty Ordered"
"Qty Shipped","Qty Shipped"
"Qty","Qty"
"Qty:","Qty:"
"RSS Feed","RSS Feed"
"RSS Feeds","RSS Feeds"
"RSS link to %s's wishlist","RSS link to %s's wishlist"
"Rating:","Rating:"
"Reach  %s  %s to start spending them.","Reach  %s  %s to start spending them."
"Reason","Reason"
"Recent Orders","Recent Orders"
"Recently Compared Products","Recently Compared Products"
"Recently Viewed Products","Recently Viewed Products"
"Recently added item(s)","Recently added item(s)"
"Recipient Email","Recipient Email"
"Recipient Name","Recipient Name"
"Recipient:","Recipient:"
"Redeem Gift Card","Redeem Gift Card"
"Refer to %s transaction  history to see if a specific record expires and when.","Refer to %s transaction  history to see if a specific record expires and when."
"Refer to reward points history to see if a specific record expires and when.","Refer to reward points history to see if a specific record expires and when."
"Refund #","Refund #"
"Refund #%s","Refund #%s"
"Refunded to Store Credit","Refunded to Store Credit"
"Refunded","Refunded"
"Refunds","Refunds"
"Register and save time!","Register and save time!"
"Register with us for future convenience:","Register with us for future convenience:"
"Register","Register"
"Registered Customers","Registered Customers"
"Regular Price:","Regular Price:"
"Related Products","Related Products"
"Remove Email","Remove Email"
"Remove Item","Remove Item"
"Remove Product","Remove Product"
"Remove This Item","Remove This Item"
"Remove","Remove"
"Reorder","Reorder"
"Retrieve your confirmation link here","Retrieve your confirmation link here"
"Retrieve your password here","Retrieve your password here"
"Review (submitted on %s):","Review (submitted on %s):"
"Review Details","Review Details"
"Review Order","Review Order"
"Review by %s","Review by %s"
"Review","Review"
"Reward Points","Reward Points"
"Reward points balance Information","Reward points balance Information"
"Reward points balance information","Reward points balance information"
"Row Total","Row Total"
"SKU","SKU"
"Save Address","Save Address"
"Save Password","Save Password"
"Save Subscription Settings","Save Subscription Settings"
"Save Tag","Save Tag"
"Save in Address Book","Save in Address Book"
"Save in address book","Save in address book"
"Save","Save"
"Search Results for '%s' (<a href='%s'>RSS</a>)","Search Results for '%s' (<a href='%s'>RSS</a>)"
"Search Settings","Search Settings"
"Search results for '%s'","Search results for '%s'"
"Search","Search"
"Select Address","Select Address"
"Select Addresses","Select Addresses"
"Select Shipping Method","Select Shipping Method"
"Select State/Province...","Select State/Province..."
"Select Store","Select Store"
"Select Your Currency","Select Your Currency"
"Select a billing address from your address book or enter a new address.","Select a billing address from your address book or enter a new address."
"Select a shipping address from your address book or enter a new address.","Select a shipping address from your address book or enter a new address."
"Select date","Select date"
"Send Check to:","Send Check to:"
"Send Invitations","Send Invitations"
"Send confirmation link","Send confirmation link"
"Send email","Send email"
"Send invitation","Send invitation"
"Send to:","Send to:"
"Sender Email","Sender Email"
"Sender Name","Sender Name"
"Sender:","Sender:"
"Service Type:","Service Type:"
"Share Wishlist","Share Wishlist"
"Share Your Wishlist","Share Your Wishlist"
"Sharing Information","Sharing Information"
"Ship to Multiple Addresses","Ship to Multiple Addresses"
"Ship to different address","Ship to different address"
"Ship to this address","Ship to this address"
"Shipment #","Shipment #"
"Shipment #%s","Shipment #%s"
"Shipped or billed on:","Shipped or billed on:"
"Shipped","Shipped"
"Shipping & Handling","Shipping & Handling"
"Shipping Address","Shipping Address"
"Shipping Information","Shipping Information"
"Shipping Method","Shipping Method"
"Shipping To","Shipping To"
"Shipping method has not been selected yet","Shipping method has not been selected yet"
"Shipping selection is not applicable","Shipping selection is not applicable"
"Shipping selection is not applicable.","Shipping selection is not applicable."
"Shipping","Shipping"
"Shop By","Shop By"
"Shopping Cart is Empty","Shopping Cart is Empty"
"Shopping Cart","Shopping Cart"
"Shopping Options","Shopping Options"
"Show","Show"
"Sign Up for Newsletter","Sign Up for Newsletter"
"Sign a billing agreement to streamline further purchases with PayPal.","Sign a billing agreement to streamline further purchases with PayPal."
"Sign up for our newsletter","Sign up for our newsletter"
"Sign up for our newsletter:","Sign up for our newsletter:"
"Sign up for price alert","Sign up for price alert"
"Sign up to get notified when this product is back in stock","Sign up to get notified when this product is back in stock"
"Signed by:","Signed by:"
"Sku","Sku"
"Sorry, no quotes are available for this order at this time.","Sorry, no quotes are available for this order at this time."
"Special Price:","Special Price:"
"Start Date","Start Date"
"Start Download","Start Download"
"Starting at:","Starting at:"
"State/Province","State/Province"
"Status","Status"
"Status:","Status:"
"Store Credit payment is not being used in your shopping cart.","Store Credit payment is not being used in your shopping cart."
"Store Credit","Store Credit"
"Street Address %s","Street Address %s"
"Street Address 2","Street Address 2"
"Street Address","Street Address"
"Submit Review","Submit Review"
"Submit","Submit"
"Submitting order information...","Submitting order information..."
"Subscribe for balance updates","Subscribe for balance updates"
"Subscribe for points expiration notifications","Subscribe for points expiration notifications"
"Subscribe to Feed","Subscribe to Feed"
"Subscribe to balance update","Subscribe to balance update"
"Subscribe","Subscribe"
"Subtotal (Excl. Tax)","Subtotal (Excl. Tax)"
"Subtotal (Incl. Tax)","Subtotal (Incl. Tax)"
"Subtotal","Subtotal"
"Suffix","Suffix"
"Summary of Your Review","Summary of Your Review"
"Switch/Solo Only","Switch/Solo Only"
"Tag Information","Tag Information"
"Tag Name: %s","Tag Name: %s"
"Tags:","Tags:"
"Tax Amount","Tax Amount"
"Tax","Tax"
"Tax/VAT number","Tax/VAT number"
"Telephone","Telephone"
"Thank you for your purchase!","Thank you for your purchase!"
"Thank you for your subscription","Thank you for your subscription"
"The gift message has been removed.","The gift message has been removed."
"The gift message has been saved.","The gift message has been saved."
"The link is not available.","The link is not available."
"The minimum password length is 6","The minimum password length is 6"
"The opportunity of using this URL is not supported yet","The opportunity of using this URL is not supported yet"
"The opportunity of using this tab is not supported yet","The opportunity of using this tab is not supported yet"
"The store credit payment has been removed from shopping cart.","The store credit payment has been removed from shopping cart."
"There are <a href="%s"><strong>%s items</strong></a> in your cart.","There are <a href="%s"><strong>%s items</strong></a> in your cart."
"There are no %s available.","There are no %s available."
"There are no Rss Feeds.","There are no Rss Feeds."
"There are no categories.","There are no categories."
"There are no products matching the selection.","There are no products matching the selection."
"There are no search terms available.","There are no search terms available."
"There are no sent invitations yet","There are no sent invitations yet"
"There are no tags available.","There are no tags available."
"There is <a href="%s"><strong>1 item</strong></a> in your cart.","There is <a href="%s"><strong>1 item</strong></a> in your cart."
"There is no balance history yet.","There is no balance history yet."
"There is no tracking available for this shipment.","There is no tracking available for this shipment."
"There is no tracking available.","There is no tracking available."
"This bundle is out of stock.","This bundle is out of stock."
"This is My Default %s Address","This is My Default %s Address"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","This is a demo store. Any orders placed through this store will not be honored or fulfilled."
"This is a required option","This is a required option"
"Time selection:","Time selection:"
"Time:","Time:"
"Title","Title"
"To Cart","To Cart"
"To add or remove gift cards, <a href="%s">click here</a>.","To add or remove gift cards, <a href="%s">click here</a>."
"To","To"
"To:","To:"
"Total Due","Total Due"
"Total Paid","Total Paid"
"Total Refunded","Total Refunded"
"Total incl. Tax: %1$s","Total incl. Tax: %1$s"
"Total incl. tax","Total incl. tax"
"Total","Total"
"Track all shipment(s)","Track all shipment(s)"
"Track this shipment","Track this shipment"
"Track your order","Track your order"
"Track:","Track:"
"Tracking Number(s)","Tracking Number(s)"
"Tracking Number:","Tracking Number:"
"Tracking information is currently not available. Please","Tracking information is currently not available. Please"
"Transactions History","Transactions History"
"Unable to find any products tagged with '%s' in the current store","Unable to find any products tagged with '%s' in the current store"
"Unable to find any products tagged with '%s' in the current store.","Unable to find any products tagged with '%s' in the current store."
"Up To","Up To"
"Update Cart","Update Cart"
"Update Shipping Method","Update Shipping Method"
"Update Total","Update Total"
"Update Wishlist","Update Wishlist"
"Update","Update"
"Use Billing Address","Use Billing Address"
"Use Store Credit","Use Store Credit"
"Use as My Default %s Address","Use as My Default %s Address"
"Use as my default billing address","Use as my default billing address"
"Use as my default shipping address","Use as my default shipping address"
"Use my %s","Use my %s"
"View All Reviews","View All Reviews"
"View All Tags","View All Tags"
"View All","View All"
"View Details","View Details"
"View Order List","View Order List"
"View Order","View Order"
"View Product","View Product"
"Vote","Vote"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress."
"Weight:","Weight:"
"What is PayPal?","What is PayPal?"
"What is it?","What is it?"
"What is this?","What is this?"
"What's this?","What's this?"
"Wishlist is empty now.","Wishlist is empty now."
"Wishlist","Wishlist"
"Write Your Own Review","Write Your Own Review"
"Wrong or expired Gift Card Code.","Wrong or expired Gift Card Code."
"YYYY","YYYY"
"Year","Year"
"You are currently not subscribed to any newsletter.","You are currently not subscribed to any newsletter."
"You are currently on:","You are currently on:"
"You are currently subscribed to 'General Subscription'.","You are currently subscribed to 'General Subscription'."
"You are currently subscribed to our newsletter.","You are currently subscribed to our newsletter."
"You are now logged out","You are now logged out"
"You can leave a box blank if you don't wish to add a gift message for the item.","You can leave a box blank if you don't wish to add a gift message for the item."
